"1057838546",        "description": "Ex moderate Republican who loathes Trump Klan. #Resistance, #Metoo #WhereAreTheChildren.Fierce patient advocate & animal lover. Rescue dog mom. Follow animal ♡s",
"1924400334",        "description": "Husband, father of 2, Republican State Rep for Missouri's 98th District",
"38274353",        "description": "The official Twitter feed of the Political Department of the Republican Party of Texas.",
"1050111",        "description": "Facts over feelings. Free market Republican. Polling + analytics @EchelonInsights.",
"24905240",        "description": "United States Senator for Arizona and Assistant Senate Republican Leader",
"141821487",        "description": "Cuban-American, Catholic, Psychotherapist, old fashion Republican, NOT a Trump...ist.",
"545785689",        "description": "Religious Views: Christian Political Views: Republican When I got saved: July 9, 1995 More info on my bio is at: https://t.co/M5XmrsAhjj",
"333186917",        "description": "Follower of Christ. Conservative Republican. Kentuckian.  Tweets are my own.",
"1447036813",        "description": "Proud Republican, American",
"225970249",        "description": "Passionate Republican woman working to make a difference in my community, 2nd Amendment, Freedom of Speech, sweet-tooth addiction.",
"837303571292966912",        "description": "i am not a Republican.  i am not a Democrat.  i am an American. M♡M of 2. Proud Trump supporter from day 1! 👍 Lets #MAGA !🙏📿",
"14682781",        "description": "Political Analyst & Contributor | US Politics | Republicans Overseas Representative in Argentina | #MAGA #CampoArgentino",
"15207668",        "description": "We are the United States House of Representatives Republican Conference. @HouseGOP on Instagram.",
"839513345283731456",        "description": "US Senator for the Great State of Texas since 2003. Christian, American, conservative, Republican (in that order). Vietnam vet. Tweets from me -TJH",
"32509422",        "description": "World news with a Virginia Right twist. Exposing liberals with the light from the right and keeping an eye on Republicans. All our writers tweet as @varight",
"2809401021",        "description": "The official Twitter page of Tyler Harmon.\n\nRepublican. Free. American.\n\nCampaign work, lobbying work, public policy research. Tweets are my own.",
"211029823",        "description": "Strategic consultant and lobbyist. Former Ohio Senate President pro tempore. Former Montgomery County (Ohio) Republican Chairman. Attorney. Father.",
"1117720224",        "description": "Official account of the Kentucky Senate Republicans. Led by @kysenatepres, @kydavidgivens, @damon_thayer, @jrajra, & @mikewilson2018",
"208671734",        "description": "President,Sandler-Innocenzi, Republican advertising firm, 30+ years as GOP media strategist and consultant. Steelers, golf, politics, pittsburgh, and the stones",
"72357108",        "description": "Republican that tiptoes the Libertarian line/Conservative Blogger/American Patriot/occasional rabble rouser",
"1694504534",        "description": "wife & mom. Retired pathologist. Emory Med. Animal lover❤️all dogs, esp. pugs❤️&cats. Sad former Republican. Now riding Blue Wave",
"233576055",        "description": "The most Republican County in Michigan. We produce conservative ideas and leadership for better government and free markets. Victory begins with us! #OttawaGOP",
"61871814",        "description": "Iowa Republican National Committeeman",
"19405365",        "description": "The Republican State Leadership Committee is the only national organization whose mission is electing Republicans to state offices across the country.",
"20192403",        "description": "The House Armed Services Committee Republicans; Twitter feed of the latest committee news and updates",
"3604787059",        "description": "My thoughts and opinions do not represent the company that I work for. Have a nice day vote Republican save your children.",
"462410227",        "description": "The official Twitter account for the Denton Republican Women's Club! Follows & Retweets not endorsements. #txgop #gop #tcot",
"1587551701",        "description": "Charleston County (SC) Republican Party",
"38281802",        "description": "Republican. SMU. Dallas Cowboy's Fan.",
"243278482",        "description": "Official twitter account for the University of North Texas College Republicans • The best party on campus • Retweets are not endorsements • Chapter of @Texasfcr",
"391732037",        "description": "Republican 100%",
"64496696",        "description": "Official Twitter account of the Salt Lake County Republican Party.",
"783036344327081985",        "description": "Concerned Republican. My Tweets are my own. #AccidentalPresident #ProtectMuellerNow",
"1031599960947482624",        "description": "Lonewolf Republican #DumpTrump. Soarent Security GM, Intel Liaison Officer--InfraGard. Historical thriller: Trump-Russia-cyberwar. #Resist #Resisters #FBRParty",
"75445472",        "description": "Civil Engineer MEM,PE 20yrs Const/Permiting Process.Worked 4 Verizon/Claro,PW-Dir CitySan Juan,OGPe Dir,Pro-Statehood,Republican, Libertarian,TeaP,Former Mayor",
"533212252",        "description": "Veteran, businessman, former legislator, and Republican candidate for Governor of North Carolina.\n\n#Honesty. #Integrity. #Transparency.",
